reference,executed_at,symbol,direction,qty,unit_price,total,status
T-1001,2026-09-01 09:15:03,BTCUSD,B,0.5,62000,31000.00,SETTLED
T-1002,2026-09-01 09:22:00,ETHUSD,S,10,3417,34170.00,SETTLED
C-9001,2026-09-01 10:20:00,SOLUSD,S,300,146,43800.00,SETTLED
C-9002,2026-09-01 10:05:01,BTCUSD,B,0.2,63200,12645.30,SETTLED
C-9003,2026-09-01 10:30:20,ETHUSD,B,5,3390.5,16952.50,SETTLED
T-1008,2026-09-01 11:45:00,ETHUSD,S,2.5,3410,8525.00,SETTLED
C-9004,2026-09-01 12:10:00,BTCUSD,B,0.3,63800,19140.00,SETTLED
T-1010,2026-09-01 12:40:00,SOLUSD,S,50,150,7500.00,SETTLED
C-9005,2026-09-01 15:30:00,ETHUSD,B,1,3420,3420.00,SETTLED
C-9006,2026-09-01 14:00:00,BTCUSD,B,0.15,63100,9465.00,SETTLED
C-9007,2026-09-01 14:20:00,SOLUSD,B,80,151,12080.00,CANCELLED
