trade_id,traded_at,instrument,side,quantity,price,gross_amount,state
T-1001,2026-09-01T09:15:00Z,BTC-USD,BUY,0.50,62000.00,31000.00,SETTLED
T-1002,2026-09-01T09:22:00Z,ETH-USD,SELL,10.00,3400.00,34000.00,SETTLED
T-1003,2026-09-01T09:40:00Z,SOL-USD,SELL,300.00,146.00,43800.00,SETTLED
T-1004,2026-09-01T10:05:00Z,BTC-USD,BUY,0.20,63200.00,12640.00,SETTLED
T-1005,2026-09-01T10:30:00Z,ETH-USD,BUY,5.00,3390.00,16950.00,SETTLED
T-1006,2026-09-01T11:00:00Z,BTC-USD,SELL,0.10,63500.00,6350.00,SETTLED
T-1007,2026-09-01T11:15:00Z,SOL-USD,BUY,100.00,149.00,14900.00,CANCELLED
T-1008,2026-09-01T11:45:00Z,ETH-USD,SELL,2.00,3410.00,6820.00,SETTLED
T-1009,2026-09-01T12:10:00Z,BTC-USD,BUY,0.30,64100.00,19230.00,SETTLED
T-1010,2026-09-01T12:40:00Z,SOL-USD,SELL,50.00,150.00,7500.00,SETTLED
T-1011,2026-09-01T13:00:00Z,ETH-USD,BUY,1.00,3420.00,3420.00,SETTLED
