reference,executed_at,symbol,direction,qty,unit_price,total,status
EXT-90001,01/09/2026 09:15:02,BTCUSD,B,0.5,60000.0,30000.0,SETTLED
EXT-90002,01/09/2026 09:20:00,ETHUSD,S,10.0,3417.0,34170.0,SETTLED
EXT-90003,01/09/2026 09:25:04,BTCUSD,S,0.25,60100.0,15025.0,SETTLED
EXT-90004,01/09/2026 09:31:00,ETHUSD,B,5.0,3390.0,16950.0,SETTLED
EXT-90005,01/09/2026 09:40:01,SOLUSD,B,20.0,145.0,2900.0,SETTLED
EXT-90006,01/09/2026 09:48:00,BTCUSD,B,0.1,60200.0,6020.0,SETTLED
EXT-88321,01/09/2026 10:00:03,ETHUSD,B,2.0,3410.0,6820.0,SETTLED
EXT-90008,01/09/2026 10:10:00,BTCUSD,S,0.3,60300.0,18090.0,SETTLED
EXT-90009,01/09/2026 10:20:00,SOLUSD,S,15.0,146.0,2190.0,SETTLED
EXT-90010,01/09/2026 10:30:00,ETHUSD,B,1.0,3420.0,3420.0,CANCELLED
EXT-90011,01/09/2026 10:40:00,BTCUSD,B,0.2,60400.0,12080.0,SETTLED
EXT-90012,01/09/2026 10:50:00,ETHUSD,S,4.0,3430.0,13720.0,SETTLED
EXT-90013,01/09/2026 11:00:00,SOLUSD,B,30.0,147.0,4410.0,SETTLED
EXT-90014,01/09/2026 11:10:00,BTCUSD,S,0.15,60500.0,9075.0,SETTLED
EXT-90015,01/09/2026 11:20:02,ETHUSD,B,3.0,3440.0,10320.0,SETTLED
EXT-90016,01/09/2026 11:30:00,BTCUSD,B,0.4,60600.0,24240.0,SETTLED
EXT-90017,01/09/2026 11:40:00,SOLUSD,S,10.0,148.0,1480.0,SETTLED
EXT-90018,01/09/2026 11:50:00,ETHUSD,S,2.5,3450.0,8625.0,SETTLED
EXT-90019,01/09/2026 12:00:00,BTCUSD,B,0.05,60700.0,3035.0,SETTLED
EXT-90020,01/09/2026 12:10:00,ETHUSD,B,6.0,3460.0,20760.0,SETTLED
EXT-90021,01/09/2026 12:20:00,BTCUSD,S,0.35,60800.0,21280.0,SETTLED
EXT-90022,01/09/2026 12:30:00,SOLUSD,B,25.0,149.0,3725.0,SETTLED
EXT-90023,01/09/2026 12:40:00,ETHUSD,S,3.5,3470.0,12145.0,SETTLED
EXT-90024,01/09/2026 12:50:00,BTCUSD,B,0.12,60900.0,7308.0,SETTLED
EXT-90025,01/09/2026 13:00:00,ETHUSD,B,2.2,3480.0,7656.0,SETTLED
EXT-90026,01/09/2026 13:10:00,SOLUSD,S,18.0,150.0,2700.0,SETTLED
EXT-90027,01/09/2026 13:20:00,BTCUSD,S,0.22,61000.0,13420.0,SETTLED
EXT-90028,01/09/2026 13:30:00,ETHUSD,B,4.5,3490.0,15705.0,SETTLED
EXT-90029,01/09/2026 13:40:00,BTCUSD,B,0.18,61100.0,10998.0,SETTLED
EXT-90030,01/09/2026 13:50:00,SOLUSD,B,12.0,151.0,1812.0,SETTLED
T-OUR-MISSING,2026-09-01 14:00:00,BTC-USD,BUY,0.1,61200.0,6120.0,COMPLETED
EXT-MISSING-OUR,01/09/2026 14:05:00,ETHUSD,S,1.5,3500.0,5250.0,SETTLED
