trade_id,traded_at,instrument,side,quantity,price,gross_amount,state
T-5001,2026-09-01 09:15:00,BTC-USD,BUY,0.5,60000.0,30000.0,COMPLETED
T-5002,2026-09-01 09:20:00,ETH-USD,SELL,10.0,3400.0,34000.0,COMPLETED
T-5003,2026-09-01 09:25:00,BTC-USD,SELL,0.25,60100.0,15025.0,COMPLETED
T-5004,2026-09-01 09:31:00,ETH-USD,BUY,5.0,3390.0,16950.0,COMPLETED
T-5005,2026-09-01 09:40:00,SOL-USD,BUY,20.0,145.0,2900.0,COMPLETED
T-5006,2026-09-01 09:48:00,BTC-USD,BUY,0.1,60200.0,6020.0,COMPLETED
T-5007,2026-09-01 10:00:00,ETH-USD,BUY,2.0,3410.0,6820.0,COMPLETED
T-5008,2026-09-01 10:10:00,BTC-USD,SELL,0.3,60300.0,18090.0,COMPLETED
T-5009,2026-09-01 10:20:00,SOL-USD,SELL,15.0,146.0,2190.0,COMPLETED
T-5010,2026-09-01 10:30:00,ETH-USD,BUY,1.0,3420.0,3420.0,CANCELLED
T-5011,2026-09-01 10:40:00,BTC-USD,BUY,0.2,60400.0,12080.0,COMPLETED
T-5012,2026-09-01 10:50:00,ETH-USD,SELL,4.0,3430.0,13720.0,COMPLETED
T-5013,2026-09-01 11:00:00,SOL-USD,BUY,30.0,147.0,4410.0,COMPLETED
T-5014,2026-09-01 11:10:00,BTC-USD,SELL,0.15,60500.0,9075.0,COMPLETED
T-5015,2026-09-01 11:20:00,ETH-USD,BUY,3.0,3440.0,10320.0,COMPLETED
T-5016,2026-09-01 11:30:00,BTC-USD,BUY,0.4,60600.0,24240.0,COMPLETED
T-5017,2026-09-01 11:40:00,SOL-USD,SELL,10.0,148.0,1480.0,COMPLETED
T-5018,2026-09-01 11:50:00,ETH-USD,SELL,2.5,3450.0,8625.0,COMPLETED
T-5019,2026-09-01 12:00:00,BTC-USD,BUY,0.05,60700.0,3035.0,COMPLETED
T-5020,2026-09-01 12:10:00,ETH-USD,BUY,6.0,3460.0,20760.0,COMPLETED
T-5021,2026-09-01 12:20:00,BTC-USD,SELL,0.35,60800.0,21280.0,COMPLETED
T-5022,2026-09-01 12:30:00,SOL-USD,BUY,25.0,149.0,3725.0,COMPLETED
T-5023,2026-09-01 12:40:00,ETH-USD,SELL,3.5,3470.0,12145.0,COMPLETED
T-5024,2026-09-01 12:50:00,BTC-USD,BUY,0.12,60900.0,7308.0,COMPLETED
T-5025,2026-09-01 13:00:00,ETH-USD,BUY,2.2,3480.0,7656.0,COMPLETED
T-5026,2026-09-01 13:10:00,SOL-USD,SELL,18.0,150.0,2700.0,COMPLETED
T-5027,2026-09-01 13:20:00,BTC-USD,SELL,0.22,61000.0,13420.0,COMPLETED
T-5028,2026-09-01 13:30:00,ETH-USD,BUY,4.5,3490.0,15705.0,COMPLETED
T-5029,2026-09-01 13:40:00,BTC-USD,BUY,0.18,61100.0,10998.0,COMPLETED
T-5030,2026-09-01 13:50:00,SOL-USD,BUY,12.0,151.0,1812.0,COMPLETED
